iter	Passed	Remaining
237	13524	43301
238	13574	43222
239	13621	43134
240	13673	43063
241	13734	43020
242	13799	42987
243	13851	42917
244	13918	42891
245	13968	42814
246	14023	42750
247	14073	42674
248	14125	42602
249	14182	42548
250	14235	42478
251	14288	42411
252	14353	42379
253	14415	42338
254	14468	42271
255	14517	42192
256	14570	42124
257	14638	42099
258	14701	42061
259	14765	42025
260	14829	41988
261	14896	41960
262	14961	41925
263	15024	41885
264	15092	41861
265	15161	41835
266	15224	41795
267	15293	41772
268	15346	41704
269	15398	41633
270	15454	41572
271	15507	41504
272	15555	41424
273	15610	41361
274	15659	41284
275	15708	41205
276	15778	41184
277	15829	41111
278	15891	41067
279	15948	41009
280	16012	40972
281	16067	40908
282	16117	40835
283	16168	40763
284	16223	40701
285	16286	40659
286	16343	40603
287	16397	40537
288	16447	40464
289	16485	40361
290	16550	40323
291	16615	40287
292	16679	40247
293	16748	40218
294	16795	40138
295	16853	40084
296	16920	40050
297	16989	40023
298	17052	39978
299	17120	39947
300	17183	39904
301	17244	39856
302	17313	39826
303	17365	39758
304	17435	39730
305	17504	39698
306	17572	39667
307	17625	39599
308	17678	39532
309	17726	39454
310	17782	39396
311	17836	39331
312	17886	39258
313	17943	39201
314	17990	39122
315	18036	39041
316	18084	38963
317	18123	38868
318	18177	38804
319	18244	38769
320	18298	38705
321	18364	38667
322	18415	38597
323	18467	38531
324	18519	38462
325	18588	38430
326	18645	38374
327	18701	38315
328	18771	38285
329	18823	38216
330	18878	38156
331	18921	38071
332	18991	38039
333	19044	37974
334	19093	37901
335	19145	37835
336	19196	37765
337	19247	37697
338	19296	37625
339	19350	37562
340	19403	37499
341	19460	37440
342	19510	37370
343	19559	37298
344	19605	37222
345	19655	37151
346	19703	37079
347	19753	37008
348	19802	36938
349	19851	36867
350	19901	36798
351	19949	36725
352	20005	36666
353	20048	36584
354	20102	36525
355	20149	36450
356	20201	36386
357	20246	36307
358	20297	36240
359	20345	36168
360360	20409	361361361	20473	360362362	20523	360363363	20588	359364364	20658	359365365	20726	35903
366	20778	358367367	20844	35798
368	20904	35746
369	20954	35678
370	21005	35613
371	21057	35548
372	21109	35484
373	21158	35415
374	21209	35349
375	21262	35287
376	21314	352377377	21367	351378378	21435	35122
379	21487	35058
380	21541	34998
381	21598	34941
382	21656	34887
383	21716	34836
384	21769	34773
385	21838	34737
386	21893	34678
387	21939	34605
388	22001	34557
389	22050	34489
390	22104	34428
391	22157	34366
392	22221	34322
393	22270	34253
394	22326	34195
395	22396	34160
396	22449	34098
397	22515	34055
398	22567	33991
399	22624	33937
400	22677	33874
401	22734	33819
402	22805	33783
403	22857	33720
404	22911	33659
